CaseID,Title,Location,City,State,Latitude,Longitude,CF,CI,Number of Enforcement Fatalities,Number of Enforcement Injured,Total Number of Fatalities,Total Number of Victims,Description,Date,Day of Week,Date - Detailed,Shooter Name,Number of shooters,Shooter Age(s),Average Shooter Age,Shooter Sex,Shooter Race,Type of Gun - Detailed,Type of Gun - General,Number of Shotguns,Number of Rifles,Number of Handguns,Total Number of Guns,Number of Automatic Guns,Number of Semi-Automatic Guns,Fate of Shooter at the scene,Fate of Shooter,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s - Detailed,Targeted Victim/s - General,Possible Motive - Detailed,Possible Motive - General,History of Mental Illness - Detailed,History of Mental Illness - General
143,Pinewood Village Apartments,"Federal Way, Washington",Federal Way,Washington,47.30909721,-122.3357553,4,0,0,0,5,4,"On April 21, 2013, a 27-year old man shot and killed his girlfriend at their apartment in Federal Way, Washington. He then shot two neighbors in the building's parking lot and a third victim in another apartment who had come out to see what was happening. It seems the shooter wanted to kill any witness after shooting his girlfriend. He was later killed by police.",4/21/13,Sunday,"Sunday, April 21, 2013",Dennis Clark III,1,27,27,Male,Black American or African American,".40 caliber semi-automatic handgun, pistol grip shotgun",Multiple guns,1,0,1,2,0,1,Deceased,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,"Girlfriend, neighbors, general public",Romantic partner,The shooter may have started the rampage out of anger at his girlfriend for breaking up with him. He had a violent past with several run-ins with police over weapons and domestic violence calls.,Domestic dispute,Unknown,Unknown
144,Village of Manchester in Illinois,"Manchester, Illinois",Manchester,Illinois,39.54231335,-90.33029852,6,1,0,0,7,7,"On April 24, 2013, a 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one  of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.",4/24/13,Wednesday,"Wednesday, April 24, 2013",Rick Odell Smith,1,43,43,Male,White American or European American,".270 Bolt Action Winchester rifle with a scope, a Winchester 20 gauge pump-action shotgun, a Ruger carbine rifle",Multiple guns,1,1,0,2,0,0,Deceased,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,The initial targeted victim/s of the shooter were his former romantic partner and her family.,Romantic partner,"The shooter was said to be having a custodial dispute with his former partner and her family. It was said that he was unhappy about the involvement of his formers partner's family. He had previous convictions for drugs, reckless homicide and bad checks",Domestic dispute,Unknown,Unknown
145,Santa Monica College,"Santa Monica, California",Santa Monica,California,34.02319149,-118.4815644,5,3,0,0,6,8,"On June 7, 2013, a 23-year old killed his father and brother at their family home and then set the home on fire in Santa Monica, California. He then forced a motorist to drive him to the Santa Monica College campus. On his way there he fired at commuters. During a 13-minute shooting spree spanning roughly 1.5 miles he killed three other people and three others wounded by gun shot. The shooter was killed by the police in the Santa Monica College library.",6/7/13,Friday,"Friday, June 07, 2013",John Zawahri,1,23,23,Male,White American or European American,"AR-15-style .223 caliber assault semi-automatic rifle, .44 1858 Remington revolver",Multiple guns,0,1,1,2,0,1,Deceased,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,The initial targeted victims were the shooter's father and brother. The other victims that followed were random.,Family,"The shooter's motive is not confirmed, mental illness could be a contributing factor to the motive. In 2006, when the shooter was a student at Olympic High School in Santa Monica, a teacher saw him surfing the internet for information on assault weapons and instructions on making explosive devices. School staff also learned that he had repeatedly made threats against students, teachers and campus security officers. Within days, police were involved and bomb-making materials were found at his home. The shooter was subsequently admitted to UCLA's Neuropsychiatric Institute. The rampage allegedly started over an undetermined family dispute. The mother left the family home and sought a restraining order against the father.",Mental illness,The shooter was previously hospitalized at UCLA's psychiatric ward in high school after surfing the internet for assault weapons at school and after police found bomb-making materials in his room. It was released from UCLA's psychiatric ward shortly after.,Yes
146,Hialeah Apartments,"Hialeah, Florida",Hialeah,Florida,25.85294547,-80.28316975,6,0,0,0,7,6,"On July 26, 2013, a 42-year old man set fire to his apartment in Hialeah, Florida, and opened fire from his balcony and inside the apartment complex. Then he held two neighbors hostage during a stand-off with police until he was fatally shot by a SWAT team.",7/26/13,Friday,"Friday, July 26, 2013",Pedro Alberto Vargas,1,42,42,Male,Some other race,Glock 17 9mm semi-automatic handgun,Handgun,0,0,1,1,0,1,Deceased,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,"Building managers, neighbors, people on the street",General public,"The shooter thought he was being followed and threatened, stating that somebody was doing ""witchcraft and things to me"". Three days before the shooting he talked to an attorney about his threatening emails and text messages to the company he was terminated from.",Multiple motives,"Although no records were found indicating the shooter received treatment or diagnosis of mental illness, the shooter called 911 five hours prior to the shooting, telling the dispatcher that he believed someone was casting spells on him. During the call, his mother got on the phone saying that her son was acting strangely and that he needed psychiatric help.",No
147,Ross Township Supervisor Council Meeting,"Salisbury , Pennsylvania",Salisbury,Pennsylvania,39.75344279,-79.08435956,3,3,0,0,3,6,"On August 5, 2013, an unemployed 59-year old man went to Ross Township's monthly meeting in Salisbury, Pennsylvania, killing three people and injuring four more. The shooter was later restrained and shot in the leg by civilians at the scene. He had been forced to vacate his property of 20 years and had been living out of his car and in abandoned buildings ever since.",8/5/13,Monday,"Monday, August 05, 2013",Rockne Warren Newell,1,59,59,Male,White American or European American,"Ruger Mini 14 .223 semi-automatic rifle,  0.44 Magnum revolver",Multiple guns,0,1,1,2,0,1,Custody,Custody,Not applicable,No,Government facility,Local government,Members of the township supervisor council and attendees,Government,"The shooter was seeking revenge triggered by an 18-year winded property dispute that forced him to vacate his home. The township supervisors took legal action to remove the shooter from the property he had owned for 20 years. He was unemployed and had to live in his car and abandoned buildings after he was forced to vacate his property. Days before the shooting, the township bought the shooter's property in a sheriff's sale for $1,806.",Legal dispute,"In 1981, the shooter's attorney stated in court that his client was in ""need of psychiatric evaluation and treatment"".",No
148,Oklahoma City Residence,"Oklahoma City, Oklahoma",Oklahoma City,Oklahoma,35.46779189,-97.5191631,4,0,0,0,4,4,"On August 14, 2013, a 40-year old man obsessed with actress Selena Gomez, fatally shot his mother, sister, niece and infant nephew. He was later arrested and told police he had to getaway from his family because they were preventing him from being with his one true love.",8/14/13,Wednesday,"Wednesday, August 14, 2013",Daniel Livingston Green,1,40,40,Male,White American or European American,.380-caliber semi-automatic pistol,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Residential home/Neighborhood,Place of residency,"Mother, sister and her two children",Family,"The shooter was obsessed with actress Selena Gomez and stated that his family members were ""preventing him from being with his one true love"".",Mental illness,The shooter had been diagnosed as schizophrenic and had a 19-year mental health history. He often talked to himself or spoke about previous lives.,Yes
149,Washington Navy Yard,Washington D.C.,Washington,District of Columbia,38.90480894,-77.01629717,12,2,0,1,13,15,"On September 16, 2013, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers.  Five other people were injured during the incident while trying to escape.",9/16/13,Monday,"Monday, September 16, 2013",Aaron Alexis,1,34,34,Male,Black American or African American,"Remington 870 shotgun, Beretta handgun",Multiple guns,1,0,1,2,0,1,Deceased,Deceased,Killed,No,Military facility,Place of business/employment,"Military and coworkers at the Navy Yar. According to the FBI, there is no indication to date that the shooter was targeting specific individuals.",Colleague/Workmate/Business acquaintance,"The shooter is said to have delusional theories. Mental illness is a possible motive. According to investigators, the shooter was clearly depressed, and he was also delusional. The story of his complaining that microwaves were being sent through the hotel ceiling to keep him awake is a story of someone with escalating psychosis. The story of his fight at the airport in Virginia, where he accused a woman he didn?t know of laughing at him, reflects acute symptomatic paranoia. ",Mental illness,"There are multiple indicators that the shooter held a delusional belief that he was being controlled or influenced by extremely low frequency (ELF) electromagnetic waves. The etching of ?My ELF weapon!? on the left side of the receiver of the Remington 870 shotgun is believed to reference these electromagnetic waves. In addition, a document retrieved from his electronic media stated, ?Ultra low frequency attack is what I?ve been subject to for the last 3 months, and to be perfectly honest that is what has driven me to this.? A month before the shooting, the shooter called the police in Rhode Island to complain that he had changed hotels three times because he was being pursued by people keeping him awake by sending vibrations through the walls. He had sought treatment from the Veterans Affairs Department for psychiatric issues.",Yes
150,Sparks Middle School,"Sparks, Nevada",Sparks,Nevada,39.54058388,-119.748291,1,2,0,0,2,3,"On October 21, 2013, a 12-year old student at Sparks Middle School in Nevada, shot and injured two students and killed a teacher before killing himself. ",10/21/13,Monday,"Monday, October 21, 2013",Jose Reyes,1,12,12,Male,Some other race,Ruger 9 mm semi-automatic handgun,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,Yes,Primary school,Place of schooling,The shooter shot two students and teacher,Students/Classmates/Teacher,The student had been teased at school and was working through a speech problem that he had. Some students said that  they believe he was bullied. His father had pleaded guilty to misdemeanor child abuse charges after admitting hitting his son in January 2012.,Harassment,Unknown,Unknown
151,St. Aloysius Church,"Spokane, Washington",Spokane,Washington,47.67367375,-117.4159843,1,4,0,0,2,5,"On November 11, 1971, a former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.",11/11/71,Thursday,"Thursday, November 11, 1971",Larry J. Harmon,1,21,21,Male,White American or European American,.22 caliber rifle,Rifle,0,1,0,1,0,0,Deceased,Deceased,Killed,Yes,Place of worship,None,The shooter killed the caretaker of the church and wounded four other people outside the church.,General public,"The father of the victim described his son as a religious fanatic who believed that he had seen the devil and that Christ was an imposter, ""the devil incarnate"". He blamed his son's LSD use on the shootings.",Political/Religious ideals,"The shooter had used LSD during his years at MIT and had psychotic reaction to his intoxications that left him paranoid with ""irreversible brain damage"".",Yes
153,Tyler Courthouse,"Tyler, Texas",Tyler,Texas,32.3154272,-95.30501087,2,1,0,3,3,6,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support. ",2/24/05,Thursday,"Thursday, February 24, 2005","David Hernandez Arroyo, Sr.",1,43,43,Male,Some other race,Mak-90 7.62x39mm semi-automatic rifle,Rifle,0,1,0,1,0,1,Deceased,Deceased,Killed,No,Government facility,Local government,"Ex-wife, son, civilian in pursue of the shooter, policemen",Family,"The ex-husband had a history of spousal abuse and weapons violations, and apparently was irate over the divorce. He had made some threats the previous week to his ex-wife. The day of the shooting he was due in court for failing to pay child support. The shooter was sentenced previously that year to nine months probation. He also had a history of drunken driving and weapons charges.",Domestic dispute,Unknown,Unknown
154,Mohawk and Herkimer Villages in New York,"Mohawk, New York",Mohawk,New York,43.0104011,-75.0075119,4,2,0,0,5,6,"On March 13, 2013, an unemployed 64-year old man set his apartment on fire in Mohawk village, New York, before he went into a local barbershop and shot four people, killing two and wounding two others. Afterwards, the shooter drove to Herkimer village, where he shot and killed two other people at a local car servicing business. After the rampage, he holed up in an abandoned building where he had a standoff with police for 18 hours until he was shot and killed.",3/13/13,Wednesday,"Wednesday, March 13, 2013",Kurt R. Myers,1,64,64,Male,White American or European American,Shotgun,Shotgun,1,0,0,1,0,0,Deceased,Deceased,Killed,No,Retail/Wholesale/Services facility,Place of residency,"The shooter was said to have worked with the victims in the car services business he went into and shot and killed 2 other people. He was also acquainted with the victims in the barber shop, as a former customer.",Colleague/Workmate/Business acquaintance,"The shooter's motive remains unknown. Police said the shooter had no money, no job, and was maxed out on his credit cards.",Financial dispute,"The shooter had no history of being treated for mental illness, though police said acquaintances describe him as having compulsive habits and being set in his ways. ",No
155,Los Angeles International Airport (LAX),"Los Angeles, California",Los Angeles,California,34.17622092,-118.5399542,0,1,1,2,1,4,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.",11/1/13,Friday,"Friday, November 1, 2013",Paul Anthony Ciancia,1,23,23,Male,White American or European American,Smith & Wesson 5.56-millimeter M&P15 semi-automatic rifle,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,No,Public transportation,None,Transportation Security Administration (TSA) officers,Government,"A federal law enforcement official said the shooter had material expressing anti-government and anti-TSA sentiment. The shooter was carrying a note stating that he wanted to kill TSA agents and ""instill fear into their traitorous minds"".
",Political/Religious ideals,"A few days before the incident, the shooter had talked about taking his own life.",No
156,Homes in Desoto and Dallas,"Dallas, Texas",Dallas,Texas,32.79480596,-96.76631094,4,4,0,0,4,8,"On August 7, 2013, a 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.",8/7/13,Wednesday,"Wednesday, August 07, 2013",Erbie Lee Bowser,1,44,44,Male,Black American or African American,CZ52 Czech pistol,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Residential home/Neighborhood,Place of residency,"Ex-wife, ex-girlfriend, and their families",Romantic partner,"Court records show that his wife filed from divorce in 2011 and at the time of the shooting the order was still pending. In February of 2011, a judge granted his ex-wife a protective order for one year, stating that the ?court finds family violence has occurred and is likely to occur in the future.? The shooter was previously arrested for violating the protective order and evading arrest.",Domestic dispute,Unknown,Unknown
156,Centennial Hill Bar & Grill,"Montgomery, Alabama",Montgomery,Alabama,32.34729571,-86.26730242,3,5,0,0,3,8,"Early morning on December 28, 2013, a rapper had a confrontation with an acquaintance before going onstage. Soon after, the acquaintance left and re-entered the building and fired at the rapper. He and another shooter injured 5 and killed 3, including the rapper.",12/28/13,Saturday,"Saturday, December 28, 2013",Jason McWilliams and Darius Thomas,1,25,25,Male,Black American or African American,Semiautomatic handgun,Handgun,0,0,2,2,0,2,Custody,Custody,Not applicable,No,Entertainment venue,Place of recreation,The shooter had participated in a music video created by the rapper who was shot and killed.,Social,"The shooter and victim apparently had an ongoing conflict, and the shooter a brief appearance in the victim's music video. The victim, a local rapper, had a lot of community support, and some acquaintances of the shooter suggest that he may have been jealous of the rapper. ",Social dispute,None,No
158,Fort Hood,"Killeen, Texas",Killeen,Texas,31.07925506,-97.73392317,3,16,0,0,4,19,"On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide. ",4/2/14,Wednesday,"Wednesday, April 2, 2014",Ivan Lopez,1,34,34,Male,Some other race,.45-caliber Smith & Wesson semiautomatic pistol,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,No,Military facility,Place of business/employment,"Military personnel, soldiers, hospital employees",Government,The shooter was experiencing outbreaks from his mental health issues and had gotten into an argument with a superior when he had requested leave.,Mental illness,The shooter was being treated for depression and anxiety prior to shooting at Fort Hood. He was awaiting diagnosis for post-traumatic stress disorder at the time of his death.,Yes
159,Kennesaw FedEx,"Kennesaw, Georgia",Kennesaw,Georgia,34.02529674,-84.61766831,0,6,0,0,1,6,"On the morning of April 29, 2014, a 19 year-old package handler at the FedEx in Kennesaw, Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.",4/29/14,Tuesday,"Tuesday, April 29, 2014",Geddy L. Kramer,1,19,19,Male,White American or European American,Shotgun,Shotgun,1,0,0,1,0,0,Deceased,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,FedEx employees,Colleague/Workmate/Business acquaintance,No known motive,Unknown,None,No
160,Isla Vista,"Isla Vista, California",Isla Vista,California,34.4145857,-119.8581209,3,7,0,0,7,10,"On the evening of May 23, 2014, a 22-year-old student and resident of Isla Vista stabbed two roommates and their friend to death in his apartment. He then drove to a sorority house in Isla Vista and attempted to enter the premises to no avail, and began shooting at a neighboring sorority's members, killing two and wounding another. He continued shooting between altercations with police throughout Isla Vista, killing another male student and wounding six more before committing suicide. ",5/23/14,Friday,"Friday, May 23, 2014",Elliot Oliver Robertson Rodgers,1,22,22,Male,White American or European American,3 semiautomatic pistols,Handgun,0,0,3,3,0,3,Deceased,Deceased,Suicide,Yes,Residential home/Neighborhood,Place of residency,"Two roommates and a friend of the roommates, members of Alpha Phi and Delta Delta sororities, Isla Vista residents and UC Santa Barbara students",Social,"The shooter was suffering from mental illness, which triggered violent thoughts and behavior after failures with social and sexual relationships that he was unable to obtain",Multiple motives,"The shooter had been sent to psychological treatment since the age of nine. After the age of eighteen, the shooter began to shun psychotherapy and seized taking medication. His family believe that he was suffering from Asperger's Syndrome.",Yes
161,Seattle Pacific University,"Seattle, Washington",Seattle,Washington,47.62199575,-122.323646,1,2,0,0,1,3,"On June 5, 2014, a 26-year-old man entered a hall on the campus of Seattle Pacific University and began shooting at students. The shooter killed one student and injured two others before a student tackled and stopped the shooter as he was reloading.",6/5/14,Thursday,"Thursday, June 5, 2014",Aaron Ybarra,1,26,26,Male,Some other race,Shotgun,Shotgun,1,0,0,1,0,0,Custody,Custody,Not applicable,Yes,College/University/Adult education,None,"One male student was killed, one male and one female student were injured",Students/Classmates/Teacher,"The shooter appears to have been taking medication for mental health issues and was suffering from depression. At the time of the shooting, the shooter had ceased to take his prescribed medication.",Mental illness,"The shooter had been diagnosed with obsessive-compulsive disorder and transient psychosis, for which he had been prescribed medication.",Yes
163,Bourbon Street New Orleans,"New Orleans, Louisiana",New Orleans,Louisiana,30.0687242,-89.93147412,1,9,0,0,1,10,"On June 29, 2014, two men were having an argument on Bourbon Street, which escalated into a gunfight. Many shots were fired into the surrounding crowd, killing one and injuring nine.",6/29/14,Sunday,"Sunday, June 29, 2014","Trung Le, 
The second gunman has not been identified.",1,20,20,Male,Two or more races," 9mm handgun, .40-caliber handgun",Handgun,0,0,2,2,0,2,Custody/Escaped,Custody/Escaped,Not applicable,No,Street/Highway,Place of recreation,One bystander dead and nine injured at the scene,Unknown,The shooter's attorney claims that he shot in self-defense when an unidentified man began shooting at a group of the defendant's friends.,Social dispute,None,No
164,Albuquerque Auto Shop,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.15290522,-106.7791378,1,3,0,0,2,4,"The shooter pulled up to an auto shop and saw his ex-girlfriend talking with her current boyfriend. He crashed his car into the car the couple was standing next to. This knocked the current boyfriend to the ground. The shooter then fired fatal shots at his ex-girlfriend, and shot and injured three other women who had entered the shop.",8/8/14,Friday,"Friday, August 8, 2014",Marcos Delgado,1,46,46,Male,Some other race,Unknown,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,No,Retail/Wholesale/Services facility,None,The shooter's ex-girlfriend,Social,"The shooter may have been jealous of his ex-girlfriend's new relationship, and angry with her. Apparently the shooter had spoken on the phone with the victim shortly before the shooting and heard the victim's new boyfriend's voice in the background. He sent the victim text messages saying ""you tell that (expletive) I'm going to go for him"" and ""u stupid (expletive) u answered your phone and I heard""",Social dispute,None,No
165,Marysville-Pilchuck High School,"Marysville, Washington",Marysville,Washington,48.04802409,-122.1359622,4,1,0,0,5,5,"On October 24, 2014, a freshman at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days. ",10/24/14,Tuesday,"Friday, October 24, 2014",Jaylen Fryberg,1,15,15,Male,Native American or Alaska Native,.40-caliber Beretta handgun,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,Yes,Secondary school,Place of schooling,Five fellow students including 2 cousins and a girl with whom he may have pursued a romantic relationship,Students/Classmates/Teacher,"Earlier in the week the shooter sent several text messages to one of the girls he killed including ""I hate that I can't live without you,"" ""You can't make a bond with anyone like the bond me and you have right now,"" and ""It won't last."" That girl is said to have been the girlfriend of one of the boys the shooter killed. Law enforcement officials suspect that a romantic relationship between the shooter and this girl may have played a role in the motive, but that is unconfirmed.
(The report said the shooter's motive remains unclear, but classmates told police his girlfriend had broken up with him the day before and he had recently been in a fight with a football player over alleged ""racial"" comments.)",Rejection,None,No
166,Florida State University,"Tallahassee, Florida",Tallahassee,Florida,30.4549394,-84.25264151,0,3,0,0,1,3,"On November 19 just after midnight,  a graduate of Florida State University went to a library on campus which was full of people. He opened fire, injuring three people. Police arrived and told the shooter to drop the weapon, but he refused. Police then fired at the shooter, killing him.",11/19/14,Thursday,"Wednesday, November 19, 2014",Myron May,1,31,31,Male,Black American or African American,.38 caliber handgun,Handgun,0,0,1,1,0,1,Deceased,Deceased,Killed,Yes,College/University/Adult education,Place of schooling,A male library employee and two male students. It does not appear that shooter specifically targeted these individuals.,General public,"The shooter appeared to have been suffering from paranoia, with the thinking that he was a ""targeted individual."" A few days before the shooting he posted on the Targeted Individuals International Facebook page ""has anyone here ever been encouraged by your handler to kill with a promise of freedom?"" Police believe he believed he was targeted by the government.",Mental illness,"The shooter had been struggling with financial and relationship issues in the months leading up to the shooting. He confessed to a family friend that he was afraid someone was trying to kill him, and that while he was living in New Mexico someone had threatened him with a gun. He considered himself a ""targeted individual."" In September, the shooter called police saying that he heard voices coming through the walls talking about him and his present activities. In October, he was hospitalized for mental health.  ",Yes
167,Cedarville Rancheria Tribe,"Alturas, California",Alturas,California,41.4911123,-120.549091,4,2,0,0,4,6,"On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person.",2/20/14,Thursday,"Thursday, February 20, 2014",Cherie Lash Rhoades,1,44,44,Female,Native American or Alaska Native,9mm handgun,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Government facility,Local government,"The victims are the shooter's brother, niece, nephew, and a tribal administrator",Family,"The tribe was meeting in the headquarters about evicting the shooter and her son from the Rancheria tribe. The shooter had been under federal investigation over at least $50,000 in missing funds.",Legal dispute,None,No
168,Massachusetts Abortion Clinic,"Brookline, Massachusetts",Brookline,Massachusetts,42.32427392,-71.14080012,2,5,0,0,2,7,"On December 30, 1994 a man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one. ",12/30/94,Friday,"Friday, December 30, 1994",John Salvi III,1,22,22,Male,White American or European American,.22-caliber rifle,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,No,Medical/Care,None,People inside an abortion clinic,General public,"The shooter targeted abortion clinics, and witnesses say that he shouted anti-abortion, pro-Catholic words as he shot his victims, including ""This is what you get! You should pray the rosary!"" Earlier in the week he had also become very upset when told he couldn't become a hairdresser.",Political/Religious ideals,Several psychiatrists claimed that the shooter was a paranoid schizophrenic.,Yes
169,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania","Pennsburg, Souderton, Lansdale, Harleysville",Pennsylvania,40.39359306,-75.49640881,6,1,0,0,7,7,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.",12/15/14,Monday,"Monday, December 15, 2014",Bradley Stone,1,35,35,Male,White American or European American,".40-caliber Heckler & Koch handgun
9mm Beretta handgun",Handgun,0,0,2,2,0,1,Deceased,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,"The victims are the shooter's ex-wife and the ex-wife's mother, grandmother, sister, brother-in-law, niece, and nephew.",Family,"The shooter suffered from PTSD and had also been fighting with his ex-wife for custody of their two daughters. Within a day of shooting his victims, the shooter posted these words on Facebook: ""A man who doesn't fight for his kids is a sorrowful man."" Multiple motives - Mental illness and Legal dispute",Multiple motives,"Treated for PTSD at the Veterans Affairs Medical Center after discharged from the Marine Corps Reserve in 2011. In Jan. 2014, a doctor deemed him disabled from PTSD.",Yes
173,Moscow,"Moscow, Idaho",Moscow,Idaho,46.73059479,-116.9990042,3,1,0,0,3,4,"On Friday, January 10, 2015, a man shot his adoptive mother in her house, walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented, asked to see the manager, and shot and killed her. ",1/10/15,Friday,"Saturday, January 10, 2015",John Lee,1,29,29,Male,Asian American,9mm handgun,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Residential home/Neighborhood,Place of residency,"The shooter's adoptive mother, landlord, and an Arby's manager",Family/Social,Unknown,Unknown,None,No
177,Queens,"New York City, New York",New York City,New York,40.68996411,-73.8720502,3,1,0,0,4,4,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter  then went to his car and shot himself.",1/24/15,Saturday,"Saturday, January 24, 2015",Jonathon Walker,1,34,34,Male,Black American or African American,.45 caliber Smith & Wesson handgun,Handgun,0,0,1,1,0,1,Deceased,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,"The shooter's daughters, girlfriend, and girlfriend's mother.",Family,The shooter had told acquaintances that he believed his girlfriend (common-law wife) was cheating on him.,Domestic dispute,None,No
178,LaGrange,"LaGrange, Georgia",LaGrange,Georgia,33.03607062,-85.0287065,5,0,0,0,5,5,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.",1/28/15,Wednesday,"Wednesday, January 28, 2015",Thomas Jesse Lee,1,26,26,Male,White American or European American,Unknown,Handgun,0,0,1,1,0,1,Escaped,Custody,Not applicable,No,Residential home/Neighborhood,Place of residency,"The shooter's wife, step-daughter, mother-in-law, father-in-law, and a friend",Family,"Unknown , Investigators are  working to determine a motive",Unknown,None,No
181,Chapel Hill,"Chapel Hill, North Carolina",Chapel Hill,North Carolina,35.92681467,-79.03850407,3,0,0,0,3,3,"On the evening of Feb. 10, 2015, a man entered the apartment of three Muslim students with whom he had an ongoing dispute about parking space. The man was a fellow resident of the apartment complex. He shot all three people in the head, killing them. ",2/10/15,Tuesday,"Tuesday, February 10, 2015",Craig Hicks,1,46,46,Male,White American or European American,.357-caliber handgun,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,Yes,Residential home/Neighborhood,Place of residency,Three Muslim students at University of North Carolina,"Racial/Religious group
and Social","Police have cited ""an ongoing neighbor dispute over parking"" as a possible cause for the shooting, though it may also have been related to race, as he called himself a ""gun-toting atheist"" and his daughter said that she refused to communicate with him because ""hi Facebook posts became extremely hateful and began bashing others' religious beliefs.""",Multiple motives,None,No
182,Monroeville Macy's,"Monroeville, Pennsylvania",Monroeville,Pennsylvania,40.4257455,-79.76092565,0,3,0,0,0,3,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.",2/7/15,Saturday,"Saturday, February 7, 2015",Tarod Thornhill,1,17,17,Male,Black American or African American,Semi-automatic handgun,Handgun,0,0,1,1,0,1,Escaped,Custody,Not applicable,No,Retail/Wholesale/Services facility,Place of recreation,"The target was a convicted felon who was an acquaintance of the shooter, two bystanders were also injured.",Social,The shooter spoke briefly with his target before shooting him and injuring two bystanders.,Social dispute,None,No
